,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
0,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600000.XSHG,600000,浦发银行,XSHG,5400,1,10,
1,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600009.XSHG,600009,上海机场,XSHG,400,1,10,
2,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600016.XSHG,600016,民生银行,XSHG,11300,1,10,
3,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600028.XSHG,600028,中国石化,XSHG,6100,1,10,
4,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600030.XSHG,600030,中信证券,XSHG,3900,1,10,
5,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600031.XSHG,600031,三一重工,XSHG,2700,1,10,
6,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600036.XSHG,600036,招商银行,XSHG,4700,1,10,
7,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600048.XSHG,600048,保利地产,XSHG,3300,1,10,
8,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600050.XSHG,600050,中国联通,XSHG,4300,1,10,
9,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600104.XSHG,600104,上汽集团,XSHG,1600,1,10,
10,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600196.XSHG,600196,复星医药,XSHG,500,1,10,
11,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600276.XSHG,600276,恒瑞医药,XSHG,1400,1,10,
12,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600309.XSHG,600309,万华化学,XSHG,700,1,10,
13,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600340.XSHG,600340,华夏幸福,XSHG,600,1,10,
14,510050.XSHG,510050,华夏上证50ETF,XSHG,2020-04-30,600519.XSHG,600519,贵州茅台,XSHG,200,1,10,
