,secID,ticker,secShortName,exchangeCD,tradeDate,consID,consTicker,consName,consExchangeCD,quantity,cashSubsSign,CashRatio,fixedCahsAmount
0,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600000.XSHG,600000,浦发银行,XSHG,2600,1,10.0,
1,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600004.XSHG,600004,白云机场,XSHG,200,1,10.0,
2,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600011.XSHG,600011,华能国际,XSHG,1000,1,10.0,
3,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600018.XSHG,600018,上港集团,XSHG,1000,1,10.0,
4,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600019.XSHG,600019,宝钢股份,XSHG,2000,1,10.0,
5,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600027.XSHG,600027,华电国际,XSHG,700,1,10.0,
6,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600028.XSHG,600028,中国石化,XSHG,3000,1,10.0,
7,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600029.XSHG,600029,南方航空,XSHG,1000,1,10.0,
8,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600031.XSHG,600031,三一重工,XSHG,1300,1,10.0,
9,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600036.XSHG,600036,招商银行,XSHG,2300,1,10.0,
10,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600048.XSHG,600048,保利地产,XSHG,1600,1,10.0,
11,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600050.XSHG,600050,中国联通,XSHG,2100,1,10.0,
12,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600061.XSHG,600061,国投资本,XSHG,400,1,10.0,
13,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600066.XSHG,600066,宇通客车,XSHG,300,1,10.0,
14,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600068.XSHG,600068,葛洲坝,XSHG,600,1,10.0,
15,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600085.XSHG,600085,同仁堂,XSHG,100,1,10.0,
16,510010.XSHG,510010,交银上证180公司治理ETF,XSHG,2020-04-30,600089.XSHG,600089,特变电工,XSHG,800,1,10.0,
